Name,AETB-12,,
Temperature Limit,1700,,
Density,192,,
Temperature,Specific Heat,Thermal Conductivity,Emissivity
255.556,6.28E+02,6.40E-02,
394.444,8.79E+02,6.75E-02,
533.333,1.06E+03,7.44E-02,
672.222,1.15E+03,8.31E-02,
811.111,1.21E+03,9.35E-02,
950,1.24E+03,1.06E-01,
1088.89,1.26E+03,1.18E-01,
1227.78,1.27E+03,1.32E-01,
1366.67,1.27E+03,1.45E-01,
1505.56,1.27E+03,1.59E-01,
1644.44,1.27E+03,1.71E-01,
1783.33,1.27E+03,1.71E-01,
